fips;unemp
1001;53
1003;54
1005;86
1007;66
1009;55
1011;72
1013;71
1015;67
1017;55
1019;52
1021;56
1023;89
1025;111
1027;62
1029;61
1031;61
1033;70
1035;86
1037;61
1039;70
1041;60
1043;51
1045;59
1047;94
1049;62
1051;49
1053;67
1055;60
1057;70
1059;61
1061;59
1063;101
1065;78
1067;66
1069;59
1071;64
1073;59
1075;57
1077;64
1079;70
1081;53
1083;53
1085;108
1087;77
1089;52
1091;74
1093;67
1095;55
1097;69
1099;94
1101;59
1103;56
1105;106
1107;69
1109;64
1111;57
1113;56
1115;53
1117;44
1119;78
1121;68
1123;56
1125;58
1127;76
1129;87
1131;147
1133;73
2013;27
2016;33
2020;53
2050;141
2060;69
2068;86
2070;97
2090;57
2100;98
2105;115
2110;44
2122;82
2130;62
2150;50
2158;213
2164;123
2170;81
2180;125
2185;65
2188;157
2195;86
2198;117
2220;43
2230;106
2240;102
2261;82
2275;73
2282;81
2290;172
4001;113
4003;61
4005;59
4007;72
4009;67
4011;76
4012;60
4013;45
4015;66
4017;81
4019;49
4021;55
4023;99
4025;49
4027;186
5001;35
5003;63
5005;43
5007;29
5009;37
5011;52
5013;47
5015;36
5017;66
5019;45
5021;57
5023;60
5025;46
5027;58
5029;58
5031;33
5033;39
5035;46
5037;45
5039;50
5041;55
5043;58
5045;38
5047;41
5049;44
5051;43
5053;36
5055;43
5057;38
5059;40
5061;33
5063;50
5065;56
5067;62
5069;56
5071;48
5073;59
5075;44
5077;48
5079;49
5081;47
5083;46
5085;34
5087;32
5089;40
5091;42
5093;68
5095;49
5097;53
5099;37
5101;39
5103;51
5105;48
5107;59
5109;43
5111;43
5113;49
5115;46
5117;39
5119;36
5121;47
5123;52
5125;32
5127;38
5129;45
5131;37
5133;50
5135;55
5137;52
5139;55
5141;70
5143;27
5145;52
5147;55
5149;45
6001;42
6003;65
6005;59
6007;65
6009;56
6011;155
6013;44
6015;75
6017;51
6019;94
6021;82
6023;49
6025;235
6027;52
6029;103
6031;100
6033;66
6035;69
6037;52
6039;92
6041;32
6043;69
6045;52
6047;105
6049;78
6051;53
6053;76
6055;43
6057;47
6059;40
6061;44
6063;96
6065;61
6067;54
6069;68
6071;57
6073;47
6075;33
6077;81
6079;43
6081;30
6083;50
6085;38
6087;69
6089;69
6091;76
6093;85
6095;55
6097;40
6099;85
6101;96
6103;71
6105;71
6107;110
6109;62
6111;52
6113;58
6115;85
8001;36
8003;41
8005;31
8007;33
8009;17
8011;31
8013;27
8014;29
8015;27
8017;23
8019;32
8021;49
8023;49
8025;36
8027;32
8029;50
8031;31
8033;40
8035;27
8037;28
8039;27
8041;38
8043;53
8045;36
8047;24
8049;27
8051;23
8053;23
8055;64
8057;27
8059;30
8061;21
8063;21
8065;29
8067;29
8069;28
8071;52
8073;26
8075;30
8077;54
8079;22
8081;40
8083;50
8085;42
8087;35
8089;48
8091;38
8093;28
8095;20
8097;34
8099;33
8101;49
8103;51
8105;51
8107;27
8109;49
8111;38
8113;33
8115;24
8117;21
8119;38
8121;22
8123;34
8125;22
9001;48
9003;53
9005;46
9007;44
9009;55
9011;50
9013;44
9015;55
10001;47
10003;43
10005;44
11001;60
12001;43
12003;49
12005;49
12007;43
12009;52
12011;46
12013;57
12015;53
12017;68
12019;45
12021;48
12023;48
12027;52
12029;55
12031;50
12033;49
12035;55
12037;43
12039;63
12041;51
12043;62
12045;45
12047;56
12049;67
12051;91
12053;61
12055;66
12057;45
12059;54
12061;62
12063;53
12065;53
12067;41
12069;49
12071;46
12073;46
12075;52
12077;53
12079;53
12081;46
12083;58
12085;49
12086;54
12087;32
12089;46
12091;40
12093;54
12095;44
12097;50
12099;48
12101;52
12103;44
12105;56
12107;63
12109;37
12111;57
12113;45
12115;46
12117;43
12119;70
12121;49
12123;55
12125;44
12127;51
12129;41
12131;43
12133;52
13001;64
13003;52
13005;53
13007;77
13009;68
13011;49
13013;47
13015;51
13017;81
13019;62
13021;60
13023;72
13025;67
13027;52
13029;49
13031;57
13033;76
13035;56
13037;58
13039;57
13043;49
13045;60
13047;48
13049;58
13051;52
13053;84
13055;62
13057;42
13059;56
13061;105
13063;66
13065;62
13067;46
13069;59
13071;53
13073;47
13075;54
13077;50
13079;59
13081;61
13083;51
13085;47
13087;67
13089;54
13091;74
13093;58
13095;69
13097;55
13099;70
13101;43
13103;49
13105;65
13107;78
13109;50
13111;53
13113;47
13115;60
13117;42
13119;53
13121;54
13123;56
13125;61
13127;53
13129;57
13131;55
13133;58
13135;47
13137;53
13139;45
13141;84
13143;58
13145;50
13147;55
13149;59
13151;55
13153;54
13155;77
13157;42
13159;48
13161;63
13163;75
13165;76
13167;62
13169;49
13171;65
13173;57
13175;67
13177;48
13179;58
13181;59
13183;55
13185;52
13187;49
13189;72
13191;58
13193;83
13195;50
13197;74
13199;68
13201;55
13205;66
13207;52
13209;76
13211;50
13213;69
13215;69
13217;60
13219;41
13221;49
13223;46
13225;69
13227;49
13229;54
13231;52
13233;61
13235;59
13237;70
13239;74
13241;59
13243;85
13245;67
13247;57
13249;64
13251;76
13253;79
13255;68
13257;59
13259;66
13261;77
13263;67
13265;65
13267;54
13269;72
13271;86
13273;66
13275;64
13277;55
13279;78
13281;67
13283;78
13285;51
13287;66
13289;87
13291;47
13293;65
13295;56
13297;49
13299;55
13301;70
13303;64
13305;67
13307;88
13309;91
13311;46
13313;59
13315;70
13317;63
13319;63
13321;59
15001;38
15003;28
15007;33
15009;32
16001;33
16003;71
16005;35
16007;46
16009;62
16011;36
16013;32
16015;55
16017;55
16019;32
16021;53
16023;41
16025;38
16027;44
16029;37
16031;30
16033;35
16035;75
16037;52
16039;42
16041;31
16043;34
16045;47
16047;31
16049;57
16051;31
16053;31
16055;48
16057;33
16059;63
16061;65
16063;45
16065;25
16067;33
16069;34
16071;37
16073;45
16075;47
16077;42
16079;73
16081;32
16083;34
16085;56
16087;57
17001;48
17003;92
17005;51
17007;63
17009;34
17011;61
17013;63
17015;57
17017;56
17019;51
17021;63
17023;59
17025;68
17027;45
17029;59
17031;62
17033;62
17035;52
17037;54
17039;57
17041;47
17043;48
17045;60
17047;58
17049;47
17051;67
17053;55
17055;81
17057;74
17059;76
17061;59
17063;68
17065;63
17067;66
17069;98
17071;62
17073;61
17075;55
17077;54
17079;63
17081;65
17083;58
17085;54
17087;86
17089;55
17091;64
17093;52
17095;61
17097;52
17099;67
17101;75
17103;51
17105;55
17107;53
17109;63
17111;53
17113;51
17115;66
17117;60
17119;59
17121;64
17123;66
17125;71
17127;70
17129;46
17131;62
17133;41
17135;71
17137;49
17139;46
17141;59
17143;68
17145;71
17147;50
17149;51
17151;70
17153;88
17155;56
17157;50
17159;60
17161;63
17163;61
17165;86
17167;49
17169;58
17171;56
17173;58
17175;72
17177;58
17179;63
17181;74
17183;72
17185;64
17187;53
17189;38
17191;86
17193;66
17195;58
17197;61
17199;62
17201;66
17203;54
18001;36
18003;43
18005;34
18007;42
18009;54
18011;34
18013;40
18015;42
18017;47
18019;41
18021;47
18023;39
18025;56
18027;36
18029;47
